kernel_str,learned_kernel,mse,lml,std,R2_tr,R2,R2_test
WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) + 1**2,WhiteKernel(noise_level=0.106) + WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=0.00528) + 1.15**2,115273.2916,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) + RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1.21e+04, length_scale=1e+05) + RationalQuadratic(alpha=1e+05, length_scale=31.2)",26.4662,289.7899,5.1445,0.9998,0.5966,-0.8435
WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + 1**2 + WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=0.113) + 1**2 + WhiteKernel(noise_level=5.99e-05),122659.6762,-93.0337,350.2280,-0.0000,-0.0011,-0.0244
"RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","RBF(length_scale=31.2) + RationalQuadratic(alpha=1e-05, length_scale=1e+05) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",26.4662,289.7900,5.1445,0.9998,0.5966,-0.8435
"RationalQuadratic(alpha=1, length_scale=1) + 1**2 + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e+05, length_scale=31.2) + 0.878**2 + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",26.4787,289.7995,5.1457,0.9998,0.6258,-0.7099
"1**2 + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","0.209**2 + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=0.987)",23.6189,314.9178,4.8599,0.9998,0.9998,0.9998
"Matern(length_scale=1, nu=1.5) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","Matern(length_scale=68.6, nu=1.5) + DotProduct(sigma_0=9.76e-05) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",35.6099,269.0981,5.9674,0.9997,-0.2691,-4.8013
"ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=4.7, periodicity=0.00134) + RBF(length_scale=1e+05) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05)",23.6133,314.8214,4.8594,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + Matern(length_scale=1e+05, nu=1.5) + RationalQuadratic(alpha=1e+05, length_scale=31.2)",26.4598,289.9033,5.1439,0.9998,0.5966,-0.8437
"WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) + Matern(length_scale=1, nu=1.5)","WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.2) + WhiteKernel(noise_level=1e-05) + Matern(length_scale=1e+05, nu=1.5)",26.4662,289.7898,5.1445,0.9998,0.5966,-0.8435
